SibatSiyum,Min_m,dat_m,Gil_M,MatzavMishp_m,ShnatAliya_m,Shana,Machoz_m,Nafa_m
3,2,10,55,30,1900,2018,3,31
5,2,10,90,40,1945,2018,3,31
1,2,10,24,10,1900,2018,3,31
1,2,10,62,30,1900,2018,3,31
1,2,10,36,20,1900,2018,3,31
5,1,10,80,20,1972,2018,3,31
8,2,10,55,20,1964,2018,3,31
6,2,10,38,10,1900,2018,3,31
8,2,10,24,10,1900,2018,3,31
11,1,10,61,20,1900,2018,3,31
9,1,10,92,40,2000,2018,3,31
8,1,95,57,30,2013,2018,3,31
6,2,42,39,20,1900,2018,3,31
6,2,20,20,10,1900,2018,3,31
6,2,10,56,30,2002,2018,3,31
6,2,41,38,20,1900,2018,3,31
3,2,95,62,30,2000,2018,3,31
3,1,10,32,20,1900,2018,3,31
6,1,10,35,10,1999,2018,3,31
6,1,40,22,10,1900,2018,3,31
11,1,10,72,20,1900,2018,3,31
2,2,10,27,20,1900,2018,3,31
9,2,10,90,40,1943,2018,3,31
5,2,10,78,10,1990,2018,3,31
7,1,10,83,20,1995,2018,3,31
11,1,10,74,30,1900,2018,3,31
6,1,10,30,10,2001,2018,3,31
6,1,10,32,20,2012,2018,3,31
8,2,10,32,20,1900,2018,3,31
5,2,10,89,20,1990,2018,3,31
9,1,10,35,10,1900,2018,3,31
8,1,94,50,30,2015,2018,3,31
1,1,10,24,10,1900,2018,3,31
1,1,20,28,10,1900,2018,3,31
5,2,10,34,10,1990,2018,3,31
5,2,10,80,40,1949,2018,3,31
1,1,10,34,10,1900,2018,3,31
6,2,10,70,40,1951,2018,3,31
1,1,10,23,10,1900,2018,3,31
6,2,10,67,10,1900,2018,3,31
1,1,10,21,10,1900,2018,3,31
6,1,10,55,20,1900,2018,3,31
4,2,10,72,20,1900,2018,3,31
9,1,10,24,10,1900,2018,3,31
5,1,10,81,20,1961,2018,3,31
3,1,10,38,20,1998,2018,3,31
5,1,10,83,20,1937,2018,3,31
5,2,10,81,40,1900,2018,3,31
3,1,10,43,20,1900,2018,3,31
5,2,10,77,40,1999,2018,3,31
3,1,10,62,30,1963,2018,3,31
6,1,40,59,30,2001,2018,3,31
4,2,95,73,40,2006,2018,3,31
7,2,10,87,40,2000,2018,3,31
3,2,10,90,20,1950,2018,3,31
3,1,10,36,20,1900,2018,3,31
6,1,10,34,10,1991,2018,3,31
4,2,10,69,20,1984,2018,3,31
4,2,10,45,20,2013,2018,3,31
2,2,10,43,20,2000,2018,3,31
6,2,10,36,20,1900,2018,3,31
3,2,10,49,30,1900,2018,3,31
6,2,10,33,10,1900,2018,3,31
8,1,10,29,10,1900,2018,3,31
5,1,10,21,10,1900,2018,3,31
6,1,10,22,10,1900,2018,3,31
6,2,10,38,30,1900,2018,3,31
9,1,95,65,20,1995,2018,3,31
8,2,10,49,20,1973,2018,3,31
1,1,10,31,10,1900,2018,3,31
9,2,10,56,20,1973,2018,3,31
4,2,95,42,30,1900,2018,3,31
8,1,10,25,10,1900,2018,3,31
11,1,10,65,20,1962,2018,3,31
9,1,10,47,10,1900,2018,3,31
4,2,10,67,40,2014,2018,3,31
4,2,10,77,20,1991,2018,3,31
9,2,10,77,40,1991,2018,3,31
3,2,10,39,20,1900,2018,3,31
6,2,95,29,10,2008,2018,3,31
3,2,95,31,10,1991,2018,3,31
5,1,10,89,40,1948,2018,3,31
3,1,10,51,20,1971,2018,3,31
8,1,10,22,10,2015,2018,3,31
6,2,10,26,10,1900,2018,3,31
5,2,10,94,20,1949,2018,3,31
6,1,10,32,10,1991,2018,3,31
6,1,10,21,10,1900,2018,3,31
5,2,10,80,40,1949,2018,3,31
3,2,10,33,30,1900,2018,3,31
7,1,10,69,20,1966,2018,3,31
5,1,10,41,10,1900,2018,3,31
9,1,70,97,40,1990,2018,3,31
5,2,10,97,40,1974,2018,3,31
5,1,95,26,10,1996,2018,3,31
7,1,10,75,20,1900,2018,3,31
3,2,10,31,20,1900,2018,3,31
3,1,95,38,10,1993,2018,3,31
8,1,95,69,20,2014,2018,3,31
3,1,10,47,20,1900,2018,3,31
3,2,10,33,20,1995,2018,3,31
6,1,10,30,10,1900,2018,3,31
7,1,10,71,20,1957,2018,3,31
2,1,10,32,10,1900,2018,3,31
4,2,10,50,30,2010,2018,3,31
3,1,10,40,20,1997,2018,3,31
3,2,10,62,20,1900,2018,3,31
2,2,10,81,40,1962,2018,3,31
4,1,10,58,20,1991,2018,3,31
5,2,10,73,20,1949,2018,3,31
